Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
175,Shake Milton,27,NYK,SG,4,0,22,0,6,.000,0,2,.000,0,4,.000,.000,5,6,.833,0,1,1,2,1,0,0,0,5,,miltosh01
176,Zeke Nnaji,23,DEN,PF,3,0,14,2,3,.667,0,0,,2,3,.667,.667,1,2,.500,2,0,2,0,0,1,2,1,5,,nnajize01
177,Kendall Brown,20,IND,SG,7,0,25,2,6,.333,0,0,,2,6,.333,.333,0,0,,0,3,3,2,0,1,3,2,4,,brownke03
178,Dyson Daniels,20,NOP,PG,3,0,17,2,6,.333,0,2,.000,2,4,.500,.333,0,0,,0,2,2,0,2,0,1,0,4,,daniedy01
179,DeAndre Jordan,35,DEN,C,2,0,13,1,2,.500,0,0,,1,2,.500,.500,2,2,1.000,1,2,3,0,1,1,0,4,4,,jordade01
180,Jordan McLaughlin,27,MIN,PG,6,0,30,2,9,.222,0,5,.000,2,4,.500,.222,0,2,.000,0,4,4,2,0,0,2,1,4,,mclaujo01
181,Jalen Pickett,24,DEN,SG,3,0,11,2,3,.667,0,1,.000,2,2,1.000,.667,0,0,,0,1,1,1,0,1,0,1,4,,pickeja02
182,Neemias Queta,24,BOS,C,3,0,13,2,3,.667,0,0,,2,3,.667,.667,0,0,,1,2,3,0,0,1,0,0,4,,quetane01
183,Jaden Springer,21,BOS,PG,4,0,22,2,3,.667,0,0,,2,3,.667,.667,0,0,,0,3,3,1,0,1,2,1,4,,sprinja01
184,Kenrich Williams,29,OKC,PF,7,0,32,2,8,.250,0,5,.000,2,3,.667,.250,0,0,,1,7,8,3,1,0,0,3,4,,willike04
185,MarJon Beauchamp,23,MIL,SF,4,0,10,1,4,.250,0,2,.000,1,2,.500,.250,1,2,.500,0,1,1,2,0,0,1,1,3,,beaucma01
186,Caleb Houstan,21,ORL,SF,3,0,14,1,2,.500,1,2,.500,0,0,,.750,0,0,,1,1,2,0,0,0,0,0,3,,houstca01
187,Markieff Morris,34,DAL,PF,1,0,12,1,5,.200,1,3,.333,0,2,.000,.300,0,0,,0,4,4,0,0,0,1,1,3,,morrima02
188,Daniel Theis,31,LAC,C,1,0,4,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,0,1,1,0,0,0,0,0,3,,theisda01
189,Bol Bol,24,PHO,PF,3,0,13,1,3,.333,0,0,,1,3,.333,.333,0,0,,0,4,4,0,1,0,0,2,2,,bolbo01
190,Mamadi Diakite,27,NYK,PF,4,0,15,0,3,.000,0,2,.000,0,1,.000,.000,2,2,1.000,0,3,3,1,1,1,1,3,2,,diakima01
191,Ousmane Dieng,20,OKC,PF,4,0,7,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,0,0,0,0,0,0,0,0,2,,diengou01
192,Chris Livingston,20,MIL,SF,2,0,6,1,1,1.000,0,0,,1,1,1.000,1.000,0,3,.000,0,0,0,0,0,0,0,0,2,,livinch01
193,Jeremiah Robinson-Earl,23,NOP,PF,1,0,5,1,2,.500,0,0,,1,2,.500,.500,0,2,.000,1,0,1,1,0,0,0,0,2,,robinje02
194,Jordan Walsh,19,BOS,SF,3,0,11,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,0,2,2,0,0,0,0,0,2,,walshjo01
195,Jaxson Hayes,23,LAL,C,4,0,24,0,2,.000,0,0,,0,2,.000,.000,1,2,.500,3,9,12,1,0,0,2,7,1,,hayesja02
196,James Johnson,36,IND,PF,1,0,1,0,0,,0,0,,0,0,,,1,2,.500,0,0,0,0,0,0,1,0,1,,johnsja01
197,Hunter Tyson,23,DEN,PF,3,0,14,0,4,.000,0,3,.000,0,1,.000,.000,1,2,.500,1,2,3,1,0,0,1,0,1,,tysonhu01
198,Thanasis Antetokounmpo,31,MIL,PF,2,0,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,1,1,0,1,0,,antetth01
199,Goga Bitadze,24,ORL,C,2,0,10,0,2,.000,0,0,,0,2,.000,.000,0,0,,1,2,3,2,0,0,1,0,0,,bitadgo01
200,Kobe Brown,24,LAC,PF,3,0,10,0,0,,0,0,,0,0,,,0,0,,1,1,2,0,0,0,0,1,0,,brownko01
201,Jordan Hawkins,21,NOP,SG,3,0,12,0,4,.000,0,3,.000,0,1,.000,.000,0,0,,0,2,2,0,0,0,0,1,0,,hawkijo01
202,Gordon Hayward,33,OKC,SF,7,0,46,0,3,.000,0,0,,0,3,.000,.000,0,0,,1,12,13,3,1,1,0,2,0,,haywago01
203,Damian Jones,28,CLE,C,2,0,9,0,0,,0,0,,0,0,,,0,0,,1,1,2,2,0,1,2,0,0,,jonesda03
204,E.J. Liddell,23,NOP,PF,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,,liddeej01
205,De'Anthony Melton,25,PHI,SG,1,0,7,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,1,1,1,0,0,0,1,0,,meltode01
206,Leonard Miller,20,MIN,SF,3,0,7,0,1,.000,0,1,.000,0,0,,.000,0,0,,1,3,4,0,0,0,0,0,0,,millele01
207,Olivier-Maxence Prosper,21,DAL,PF,3,0,9,0,2,.000,0,0,,0,2,.000,.000,0,0,,0,3,3,1,0,0,0,0,0,,prospol01
208,Orlando Robinson,23,MIA,C,1,0,2,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,1,1,1,0,0,0,0,0,,robinor01
209,David Roddy,22,PHO,PF,2,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,,roddyda01
210,Matt Ryan,26,NOP,SF,1,0,3,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,1,1,0,1,0,1,0,0,,ryanma01
211,Isaiah Thomas,34,PHO,PG,1,0,4,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,0,0,0,0,0,1,0,0,,thomais02
212,T.J. Warren,30,MIN,SF,3,0,11,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,2,1,3,1,0,0,0,0,0,,warretj01
213,Lindy Waters III,26,OKC,SG,3,0,9,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,1,1,0,0,0,0,0,0,,waterli01
214,Thaddeus Young,35,PHO,PF,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,,youngth01
,League Average,,,,,,,,,.462,,,.351,,,.535,.532,,,.779,,,,,,,,,,,-9999
